Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_001611055.1	0.85	98.37	5439720
GCF_001611095.1	0.71	98.4	5355459
GCF_001645745.1	12.67	99.07	6196584
GCF_001708165.1	0.19	98.98	5487301
GCF_001746535.1	1.13	98.12	5344576
GCF_001929345.1	1.98	97.24	5561554
GCF_002007665.1	0.21	97.45	5804404
GCF_002085895.1	0.19	97.77	5685796
GCF_002085915.1	0.19	97.77	5565820
GCF_002085935.1	0.19	99.07	5753471
GCF_002085975.1	0.19	97.77	5713926
GCF_002085995.1	0.19	99.07	5531060
GCF_002086005.1	0.19	99.07	5740378
GCF_002086025.1	0.19	99.07	5741466
GCF_002086075.1	0.19	99.07	5636141
GCF_002086095.1	0.19	99.07	5682586
GCF_002087215.1	1.16	98.55	5691912
GCF_000814805.1	0.73	98.55	5341039
GCF_001590945.1	0.75	95.54	5463002
GCF_000695285.2	0.19	98.98	5771436
GCF_000695305.2	1.23	99.07	5814346
GCF_000714675.1	0.19	99.03	5734564
GCF_000695935.1	3.31	98.45	6132443
GCF_000717515.1	0.19	98.68	5436785
GCF_000733255.1	1.47	98.86	5812304
GCF_000967845.1	0.28	91.02	5384455
GCF_000710855.1	0.76	98.09	5398530
GCF_000710805.1	0.96	98.15	5413054
GCF_000706585.1	0.21	98.11	5733582
GCF_000694795.1	0.21	99.03	5758538
GCF_000694815.1	1.09	98.48	5386058
GCF_000694835.1	0.19	98.29	5439853
GCF_000694855.1	0.32	99.03	5637138
GCF_000694875.1	2.39	98.24	5427428
GCF_000694895.1	0.3	98.81	5583254
GCF_000694915.1	0.19	98.78	5745637
GCF_000694935.1	0.92	99.07	5422293
GCF_000709225.1	0.19	98.6	5541575
GCF_000709245.2			5660929
GCF_000709205.2	0.15	94.54	5763973
GCF_000709185.2	0.19	95.26	5481808
GCF_001308905.1	0.5	98.61	5473542
GCF_001808265.1	0.38	98.72	5364834
GCF_001443245.1	0.5	98.98	5731500
GCF_002116885.1	0.26	98.17	5264852
GCF_002119075.1	0.98	95.56	5371797
GCF_002119085.1	0.3	94.77	5238980
GCF_002119885.1	0.19	98.94	5648615
GCF_002119895.1	0.23	98.94	5693470
GCF_002119955.1	0.92	98.93	5725002
GCF_002120065.1	0.19	98.94	5580015
GCF_002120105.1	0.19	98.94	5646111
GCF_002148835.1	0.48	97.37	5750668
GCF_002150595.1	0.36	90.77	5642321
GCF_002150645.1	1.4	98.27	5583354
GCF_002152355.1	1.25	99.07	5701840
GCF_002152365.1	1.33	99.07	5446345
GCF_002152395.1	0.21	98.81	5264060
GCF_002152405.1	1.74	98.35	6031510
GCF_002152435.1	1.3	98.39	5909541
GCF_002152445.1	2.49	99	5694185
GCF_002152475.1	2.54	99.03	5632808
GCF_002152485.1	0.34	97.95	5672729
GCF_002152515.1	1.78	97.96	6024847
GCF_002152525.1	1.37	98.87	5916213
GCF_002152555.1	1.46	97.73	5955389
GCF_002152565.1	2.65	98.98	5677216
GCF_002152595.1	1.12	99.02	5770231
GCF_002152605.1	0.51	99.07	5556333
GCF_002152635.1	2.73	99.03	5663751
GCF_002152655.1	0.79	98.46	5706625
GCF_002152675.1	0.98	98.42	5695060
GCF_002152685.1	1.51	99.27	5664066
GCF_002152695.1	0.77	98.9	5623603
GCF_002152735.1	0.75	97.38	5872708
GCF_002152755.1	0.45	99.06	5611620
GCF_002152765.1	1.74	97.72	5832408
GCF_002152775.1	0.81	98.55	5667623
GCF_002152815.1	0.47	97.66	5664270
GCF_002152825.1	0.84	98.09	5654547
GCF_002152865.1	1.47	99.03	5587269
GCF_002153085.1	0.21	96.01	5398763
GCF_002153105.1	0.76	98.58	5715436
GCF_002153115.1	2.94	98.24	5756950
GCF_002153155.1	0.94	98.21	5437267
GCF_002153165.1	0.86	98.15	5619757
GCF_002153175.1	3.33	98.44	5831422
GCF_002153215.1	0.19	99.03	5928359
GCF_002153225.1	0.19	98.55	5680672
GCF_002153255.1	0.77	97.82	5626979
GCF_002153275.1	1.86	98.17	6090959
GCF_002153285.1	1.39	98.07	5547662
GCF_002153305.1	1.26	96.15	5593080
GCF_002153315.1			5314390
GCF_002154825.1	0.74	97.76	5839001
GCF_002156725.1	0.21	98.78	5896654
GCF_002156745.1	0.71	98.81	5965284
GCF_002156785.1	1.55	96.93	5973075
GCF_002157345.1	1	98.11	5555001
GCF_002162395.1	0.24	98.41	5833701
GCF_002162405.1	0.19	99.07	5588773
GCF_002162425.1	0.21	98.16	5635804
GCF_002162475.1	0.23	99.04	5553257
GCF_002163225.1	1.15	98.75	5653102
GCF_002164605.1	0.5	98.81	5723153
GCF_002164675.1	0.5	98.81	5723477
GCF_002164685.1	0.19	98.98	5583981
GCF_002164695.1			5586142
GCF_002164725.1	0.19	98.98	5443071
GCF_002164755.1	0.5	98.81	5723280
GCF_002164765.1	0.62	99.07	5497205
GCF_002164795.1	0.56	99.07	5500554
GCF_002164835.3			5670138
GCF_002164855.2	0.21	98.29	5610557
GCF_002164875.1	1.34	99.07	5770818
GCF_002166915.1	1.43	98.54	5680218
GCF_002166955.1	0.33	98.2	5580815
GCF_002166965.1	1.37	97.18	5724434
GCF_002167025.1	0.83	98.45	5489845
GCF_002167035.1	1.37	98.39	5586185
GCF_002167065.1	0.83	98.65	5498686
GCF_002167075.1	1.46	97.64	5485228
GCF_002167105.1	1.37	98.68	5541345
GCF_002167115.1	1.62	94.47	5636878
GCF_002167135.1	0.31	98.63	5358482
GCF_002167145.1	0.24	98.58	5439556
GCF_002173825.1	1.86	98.88	5585137
GCF_002173875.1	1.12	98.39	5509257
GCF_002173885.1	1.41	98	5583060
GCF_002173955.1	1.43	98.54	5534972
GCF_002173965.1	0.18	98.32	5187064
GCF_002174015.1	0.57	98.54	5374378
GCF_002174025.1	1.33	99.07	5526037
GCF_002174075.1	1.27	99.07	5467143
GCF_002180075.1	0.19	99.07	5774316
GCF_002180155.1	0.19	99.04	5859680
GCF_002180175.1	0.72	99.07	5746129
GCF_002180255.1	1.86	98.05	5806817
GCF_002180295.1	0.47	98.89	5835823
GCF_002180315.1	1.04	98.91	5989257
GCF_002180485.1	0.19	96.46	5281656
GCF_002180495.1	1.33	97.66	6127016
GCF_002180525.1	0.21	99.07	5609730
GCF_002180535.1	0.21	99.07	5774473
GCF_002180565.1	0.19	99.07	5591959
GCF_002180595.1	0.19	98.84	5655240
GCF_002180605.1	0.19	99.03	5657798
GCF_002180645.1	0.71	98.81	5475688
GCF_002180655.1	1.32	98.99	5640673
GCF_002180685.1	1.45	98.95	5750306
GCF_002180695.1	0.19	98.81	5280184
GCF_002180725.1	1.79	98.52	5725977
GCF_002180735.1	0.19	99.07	5702705
GCF_002180765.1	0.21	95.91	5520556
GCF_002180775.1	0.19	99.07	5632969
GCF_002180805.1	0.21	98.55	5885780
GCF_002180845.1	0.19	99.02	5641476
GCF_002180855.1	0.19	99.04	5551117
GCF_002180885.1	0.19	99.07	5588726
GCF_002180895.1	0.46	98.87	5768609
GCF_002180925.1	0.21	98.16	5807110
GCF_002180935.1	0.6	98.16	5659742
GCF_002180965.1	0.19	98.84	5662365
GCF_002180975.1	0.19	99.07	5395427
GCF_002181005.1	0.65	99.07	5898801
GCF_002181015.1	0.6	98.16	5872234
GCF_002181045.1	0.21	99.07	5820944
GCF_002181055.1	0.19	98.69	5539208
GCF_002181085.1	0.67	99.02	5960222
GCF_002181095.1	0.19	99.07	5469883
GCF_002181105.1	0.19	98.58	5657521
GCF_002181145.1	0.19	98.84	5657381
GCF_002181165.1	0.21	98.44	5612560
GCF_002181175.1	0.19	99.07	5648646
GCF_002181185.1	0.21	98.16	5840041
GCF_002181225.1	2.07	99.07	5672635
GCF_002181245.1	0.21	98.16	5810414
GCF_002181265.1	0.21	98.87	5388690
GCF_002181275.1	0.21	98.16	5806556
GCF_002181305.1	0.19	98.84	5656919
GCF_002181325.1	0.21	98.16	5805667
GCF_002181345.1	0.69	98.68	5854621
GCF_002181355.1	0.21	95.84	5548854
GCF_002181385.1	0.76	99.08	5470472
GCF_002181405.1	0.65	99.07	5707181
GCF_002181415.1	0.21	98.16	5594207
GCF_002181445.1	0.5	98.03	5381576
GCF_002181455.1	0.21	98.29	5506853
GCF_002181485.1	0.19	99.07	5379844
GCF_002181505.1	0.19	99.07	5596363
GCF_002181525.1	0.19	98.84	5695976
GCF_002181545.1	0.23	98.81	5711895
GCF_002181555.1	0.19	98.81	5440719
GCF_002181585.1	0.52	98.72	5882155
GCF_002181595.1	0.5	98.81	5740603
GCF_002181635.1	0.44	97.06	5340573
GCF_002181665.1	0.19	99.07	5700264
GCF_002181675.1	0.21	98.16	5805598
GCF_002181705.1	0.45	98.87	5622843
GCF_002181715.1	0.19	99.07	5514279
GCF_002181745.1	0.19	99.07	5436372
GCF_002181755.1	0.54	97.94	5705976
GCF_002181785.1	0.19	99.07	5593532
GCF_002181795.1	0.19	98.92	5573320
GCF_002181825.1	0.21	98.54	5876288
GCF_002181835.1	0.19	98.81	5602910
GCF_002181865.1	0.19	99.07	5585418
GCF_002181875.1	0.99	98.34	5665818
GCF_002181895.1	0.28	99.07	5607258
GCF_002181915.1	0.28	98.81	5393352
GCF_002181945.1	0.28	98.78	5470050
GCF_002181955.1	0.28	98.78	5393957
GCF_002181965.1	0.21	98.16	5594746
GCF_002182005.1	0.19	99.07	5606812
GCF_002182045.1	1.62	98.85	5744230
GCF_002182055.1	0.32	98.96	5582698
GCF_002182065.1	0.19	99.07	5725904
GCF_002182125.1	0.5	98.81	5859794
GCF_002182135.1	0.32	98.96	5585934
GCF_002182145.1	1.31	97.93	5849803
GCF_002182155.1	0.19	99.07	5433703
GCF_002182205.1	1	99.02	5463794
GCF_002182215.1	0.19	99.07	5655167
GCF_002182235.1	1.36	97.19	5524641
GCF_002182245.1	0.19	98.08	5452677
GCF_002182285.1	0.19	98.92	5572509
GCF_002182305.1	0.28	98.92	5689323
GCF_002182325.1	0.19	98.72	5474054
GCF_002182525.1	0.21	99.06	5908747
GCF_002182535.1	0.77	98.59	6097353
GCF_002182575.1	1.32	98.66	5481476
GCF_002184115.1	0.21	98.44	5678422
GCF_002184225.1	0.56	98.55	5975151
GCF_002184395.2	0.19	98.16	5397371
GCF_002184415.2	0.19	99.07	5609009
GCF_002184485.2	1.16	98.71	5543270
GCF_002184505.2	0.19	99.07	5615728
GCF_002184515.2	0.19	99.03	5686844
GCF_002184525.2	0.36	98.64	5581151
GCF_002184705.2	0.54	97.94	5618648
GCF_002184715.2	0.19	98.94	5375641
GCF_002184745.2	1.14	98.68	5408214
GCF_002184755.2	0.19	98.94	5391924
GCF_002184785.2	0.19	98.94	5344429
GCF_002184795.2	0.19	99.07	5568075
GCF_002184825.2	0.19	98.76	5559430
GCF_002184835.2	0.71	99.07	5539915
GCF_002184865.2	0.19	98.96	5657065
GCF_002184875.2	0.19	99.07	5527084
GCF_002184915.2	0.57	98.71	5486990
GCF_002184945.2	0.19	98.66	5353242
GCF_002184955.2	0.59	98.13	5670123
GCF_002184985.2	0.55	98.29	5522914
GCF_002184995.2	0.19	98.94	5536421
GCF_002185025.2	0.19	99.05	5468132
GCF_002185045.2	0.27	98.81	5941832
GCF_002185055.2	0.19	98.29	5548959
GCF_002185075.2	0.26	99.07	5825981
GCF_002185105.2	0.19	98.68	5579126
GCF_002185125.2	0.19	98.94	5552379
GCF_002185135.2	0.19	98.16	5354171
GCF_002185155.2	0.19	99.07	5703053
GCF_002185185.2	0.19	99.07	5582539
GCF_002185205.2	0.19	98.94	5543985
GCF_002185215.2	0.48	98.26	5606940
GCF_002185285.2	0.36	98.59	5541139
GCF_002185355.2	0.21	98.81	5630587
GCF_002185385.2	0.19	98.94	5525867
GCF_002185405.2	0.21	98.81	5636159
GCF_002185415.2	0.19	98.94	5497147
GCF_002185425.2	0.54	98.81	5745129
GCF_002185465.2	0.21	98.7	5607909
GCF_002185485.2	0.19	98.81	5552676
GCF_002185495.2	0.19	98.81	5548523
GCF_002185515.2	0.19	99.07	5637304
GCF_002185545.2	0.19	99.07	5628597
GCF_002185555.2	0.19	98.81	5530793
GCF_002185565.2	0.19	98.04	5395628
GCF_002185575.2	1.37	98.45	5548578
GCF_002185625.2	0.19	99.07	5484458
GCF_002185645.2	0.19	98.94	5487559
GCF_002185655.2	0.32	98.94	5517413
GCF_002185665.2	0.54	98.64	5675801
GCF_002185705.2	0.21	98.48	5580040
GCF_002185725.2	0.19	98.78	5558234
GCF_002185735.2	0.19	99.07	5627582
GCF_002185745.2	0.19	98.94	5653644
GCF_002185755.2	0.19	99.07	5585624
GCF_002185805.2	0.19	99.04	5646310
GCF_002185815.2	0.54	97.94	5620021
GCF_002185835.2	0.19	99.07	5651477
GCF_002185885.2	0.78	99.06	5305175
GCF_002185905.2	0.19	98.1	5482049
GCF_002185915.2	0.19	98.68	5434680
GCF_002185925.2	0.36	98.64	5580181
GCF_002185965.2	0.39	97.83	5318393
GCF_002185975.2	0.92	98.26	5482538
GCF_002186005.2	1.09	98.19	5580584
GCF_002186015.2	0.19	99.07	5656138
GCF_002186045.2	0.19	98.81	5617545
GCF_002186055.2	0.19	98.81	5637506
GCF_002186085.2	0.19	99.07	5636458
GCF_002186095.2	0.19	99.05	5522327
GCF_002186125.2	0.35	98.81	5450362
GCF_002186135.2	0.19	98.81	5545911
GCF_002186165.2	0.19	98.81	5590610
GCF_002186185.2	0.19	98.81	5637232
GCF_002186205.2	0.21	99.07	5517407
GCF_002186215.2	0.19	98.93	5504819
GCF_002186245.2	0.21	98.55	5653894
GCF_002186255.2	0.57	98.71	5520372
GCF_002186265.2	0.19	99.07	5346018
GCF_002186275.2	0.19	98.29	5629872
GCF_002186325.2	0.19	98.51	5590375
GCF_002186335.2	0.19	98.94	5389971
GCF_002186365.2	0.19	99.07	5624265
GCF_002186375.2	0.19	98.94	5552334
GCF_002186405.2	0.36	99.07	5779732
GCF_002186415.2	0.19	98.94	5517678
GCF_002186435.1	0.75	98.42	5381579
GCF_002186465.1	1.53	98.81	5546880
GCF_002186505.1	0.96	98.59	5597985
GCF_002186545.1	1.36	98.35	5564577
GCF_002186585.1	0.96	98.59	5598728
GCF_002186595.1	1.77	98.34	5650139
GCF_002186625.1	0.59	99.03	5590506
GCF_002186635.1	1.24	98.55	5438340
GCF_002186665.1	0.92	98.94	5565798
GCF_002186695.1	1.14	98.59	5487492
GCF_002186705.1	0.57	98.74	5559084
GCF_002186725.1	0.54	98.53	5164519
GCF_002186775.1	1.24	98.55	5365554
GCF_002186785.1	1.82	97.87	5679988
GCF_002186805.1	1.15	99.07	5373665
GCF_002186835.1	0.38	99.07	5287677
GCF_002186855.1	0.38	98.98	5464719
GCF_002186865.1	1.24	98.55	5429228
GCF_002186895.1	0.76	97.82	5241326
GCF_002186935.1	0.2	99.08	5296713
GCF_002186945.1	0.57	98.55	5621239
GCF_002186995.1	0.36	98.81	5169480
GCF_002187015.1	1.1	98.64	5197766
GCF_002187025.1	1.25	98.34	5638693
GCF_002187055.1	1.04	99.01	5786606
GCF_002187065.1	1.04	99.01	5801369
GCF_002187095.1	1.04	99.01	5799612
GCF_002187105.1	0.88	97.99	5566055
GCF_002187135.1	1.04	99.01	5797737
GCF_002187145.1	0.72	98.4	5584901
GCF_002187185.1	1.76	98.26	5481154
GCF_002187245.1	0.62	98.77	5598320
GCF_002187255.1	2.15	98.96	5655926
GCF_002187295.1	1.51	98.42	5436032
GCF_002187305.1	0.76	98.45	5407977
GCF_002187315.1	0.42	98.81	5343810
GCF_002187335.1	0.72	98.61	5411183
GCF_002187375.1	0.31	98.85	5514598
GCF_002187385.1	0.72	98.03	5497053
GCF_002187395.1	0.98	99.07	5789664
GCF_002187405.1	1.01	98.29	5422568
GCF_002187455.1	0.38	98.74	5648104
GCF_002187475.1	1.53	98.81	5446398
GCF_002187535.1	0.44	99.07	5581730
GCF_002187545.1	1.04	98.16	5450755
GCF_002187575.1	1.35	98.29	5652185
GCF_002187585.1	0.54	98.53	5162888
GCF_002187615.1	0.76	98.97	5236870
GCF_002187625.1	1.09	98.87	5508405
GCF_002187655.1	0.54	98.29	5566862
GCF_002187665.1	1.29	98.1	5162504
GCF_002187685.1	0.92	98.94	5557437
GCF_002187715.1	0.54	98.29	5567976
GCF_002187735.1	1.28	98.94	5466028
GCF_002187745.1	0.84	98.81	5586185
GCF_002187775.1	1.24	98.55	5366425
GCF_002187785.1	1.28	98.94	5464972
GCF_002187805.1	1.15	99.07	5371143
GCF_002187835.1	1.24	98.55	5365052
GCF_002187855.1	0.92	98.55	5593491
GCF_002187865.1	0.36	99.01	5505747
GCF_002187895.1	1.28	98.94	5468946
GCF_002187915.1	0.19	98.72	5195187
GCF_002187975.1	1.76	98.26	5477108
GCF_002187995.1	1.44	98.74	5460865
GCF_002188015.1	1.76	98.26	5478732
GCF_002188055.1	1.37	98.69	5583356
GCF_002188075.1	1.14	98.81	5857048
GCF_002188095.1	0.95	98.42	5623686
GCF_002188105.1	1.37	98.81	5728851
GCF_002188135.1	0.96	97.96	5596041
GCF_002188145.1	1.42	98.29	5653904
GCF_002188175.1	1.7	98.17	5545208
GCF_002188185.1	0.7	98.38	5477596
GCF_002188235.1	0.54	98.81	5580048
GCF_002188245.1	1.6	98.29	5705218
GCF_002188255.1	0.2	99.08	5312357
GCF_002188295.1	1.28	98.94	5466679
GCF_002189165.1	1.11	98.61	5551908
GCF_002189175.1	1.42	98.22	5570076
GCF_002189185.1	1.14	98.24	5515971
GCF_002189245.1	0.56	98.06	5538694
GCF_002189255.1	0.67	98.02	5731096
GCF_002189265.1	0.69	98.05	5826919
GCF_002189305.1	0.61	98.05	5665077
GCF_002189325.1	0.91	98.55	5371583
GCF_002189335.1	0.69	97.99	5768805
GCF_002189345.1	1.31	98.27	5536277
GCF_002189385.1	0.71	98.81	5486034
GCF_002189415.1	0.36	98.81	5485362
GCF_002192315.1	0.86	98.59	5598174
GCF_002192335.1	0.19	99.04	5849839
GCF_002192375.1	1.45	98.29	5708112
GCF_002192975.1	0.85	97.48	5278119
GCF_002197225.1	0.69	98.92	5995730
GCF_002197505.1	0.19	98.79	5726558
GCF_002202195.1	1.99	98.76	6054276
GCF_002202215.1	1.47	98.55	5656270
GCF_002202235.1	1.47	98.55	5782129
GCF_002202255.1	1.2	98.81	5798614
GCF_002202275.1	0.39	98.39	5658318
GCF_002205015.1	2.1	97.41	5857173
GCF_002205025.1	2.14	97.41	5867965
GCF_002205045.1	2.69	98.67	6050436
GCF_002205055.1	0.36	98.38	5281430
GCF_002205985.1	1.68	98.25	5483189
GCF_002205995.1	0.68	98.23	5373947
GCF_002206015.1	0.55	98.73	5564325
GCF_002209405.1	0.61	98.56	5332976
GCF_002209465.1	0.19	98.54	5317539
GCF_002211125.1	0.85	98.8	5766070
GCF_002211665.1	0.67	98.26	5745128
GCF_002211905.1	1.83	98.21	5816577
GCF_002234875.1	0.45	98.66	5489869
GCF_002234895.1	0.3	98.69	5500599
GCF_002235035.1	1.37	98.71	5766283
GCF_002235045.1	0.19	98.94	5728485
GCF_002235055.1	0.19	99.07	5829655
GCF_002235095.1	0.19	99.07	5856621
GCF_002235105.1	0.19	98.77	5568238
GCF_002235115.1	0.19	98.77	5777279
GCF_002235155.1	0.19	99.07	5746898
GCF_002235165.1	0.19	98.77	5705417
GCF_002235175.1	1.37	98.45	5724832
GCF_002235215.1	0.83	98.45	5580191
GCF_002235235.1	0.19	99.07	5824619
GCF_002235245.1	0.19	99.07	5790562
GCF_002235265.1	0.28	98.29	5547773
GCF_002235295.1	0.45	99.07	5645599
GCF_002235315.1	3.02	99.07	6022216
GCF_002235325.1	0.28	99.07	5669513
GCF_002235355.1	0.28	98.29	5466048
GCF_002235375.1	0.69	98.29	5788691
GCF_002235395.1	0.19	99.07	5868041
GCF_002235415.1	0.19	98.87	5863335
GCF_002235435.1	0.28	99.07	5763447
GCF_002235455.1	0.19	98.29	5789363
GCF_002235475.1	0.19	99.07	5855978
GCF_002235495.1	0.19	99.07	5873115
GCF_002235515.1	0.19	98.98	5796248
GCF_002235535.1	0.19	99.02	5581018
GCF_002235555.1	5.06	99.07	6035358
GCF_002235575.1	0.19	99.07	5879246
GCF_002235595.1	2.29	98.29	5917303
GCF_002235615.1	0.19	99.07	5808419
GCF_002235635.1	0.28	96.72	5650023
GCF_002235655.1	0.28	96.72	5664072
GCF_002235675.1	2.71	98.98	6029592
GCF_002235695.1	0.19	99.07	5836387
GCF_002235705.1	0.19	98.98	5891146
GCF_002235735.1	0.28	98.29	5447981
GCF_002235755.1	0.19	98.98	5822347
GCF_002235765.1	0.19	98.98	5897253
GCF_002235795.1	4.59	98.98	6164545
GCF_002235815.1	0.19	99.07	5867286
GCF_002235825.1	0.19	98.97	5843244
GCF_002235835.1	5.01	98.22	5867284
GCF_002235875.1	0.28	98.29	5409161
GCF_002235895.1	0.19	99.07	5786927
GCF_002235915.1	0.28	98.29	5444161
GCF_002235935.1	0.28	98.24	5439537
GCF_002235945.1	0.19	98.98	5798409
GCF_002235975.1	0.28	98.29	5514412
GCF_002235985.1	0.28	99.03	5842416
GCF_002236015.1	0.28	98.29	5446133
GCF_002236055.1	0.28	99.07	5626225
GCF_002236085.1	0.19	98.94	5720512
GCF_002236145.1	0.19	99.07	5787830
GCF_002236155.1	0.19	99.07	5818124
GCF_002236185.1	0.19	99.07	5862536
GCF_002236195.1	0.19	99.07	5853727
GCF_002236205.1	4.89	99.07	6110008
GCF_002236245.1	4.59	99.07	6127188
GCF_002236265.1	0.19	98.98	5713366
GCF_002236275.1	0.19	98.9	5859072
GCF_002236305.1	0.19	98.28	5768267
GCF_002236315.1	0.19	98.98	5874672
GCF_002236345.1	0.19	99	5709617
GCF_002236365.1	0.19	99.05	5869911
GCF_002236385.1	0.19	99.07	5866908
GCF_002236405.1	0.19	98.98	5892633
GCF_002236425.1	0.19	99.07	5771481
GCF_002236445.1	0.19	98.29	5782794
GCF_002237985.1	1.95	98.05	5934926
GCF_002239875.1	0.73	98.71	5616242
GCF_002239965.1	0.99	98.87	5508309
GCF_002241035.1	1.39	98.74	5562868
GCF_002243445.1	0.19	99.07	5621950
GCF_002246075.1	1.29	98.98	5714045
GCF_002248135.1	0.42	98.07	5443158
GCF_002248525.1	0.5	98.45	5672633
GCF_002250985.1	0.74	99.05	5868791
GCF_002251715.1	0.19	98.02	5573909
GCF_002252415.1	1.16	98.35	5825218
GCF_002257765.2	0.38	98.42	5624884
GCF_002257775.1	1.58	99.07	5502414
GCF_002257785.1	1.21	98.33	5414223
GCF_002257795.1	0.73	99.07	5369242
GCF_002257845.1	0.38	98.55	5441462
GCF_002257855.1	0.63	98.35	5544604
GCF_002257865.1	1.02	98.81	5459659
GCF_002257875.1	1.58	99.07	5528209
GCF_002257925.1	0.56	98.8	5704813
GCF_002257935.3			5749649
GCF_002257965.1	1.17	99.07	5349328
GCF_002257975.1	0.97	98.51	5433380
GCF_002258005.1			5343306
GCF_002258045.1	0.56	98.85	5754479
GCF_002258055.2			5848374
GCF_002258085.1	0.89	98.94	5570308
GCF_002258105.1			5564276
GCF_002258115.1	0.38	98.55	5426656
GCF_002258145.3			5500843
GCF_002258155.1	0.97	99.07	5412607
GCF_002258175.1			5673656
GCF_002260725.1	0.27	97.92	5520764
GCF_002260885.1	1.01	98.38	5533083
GCF_002260905.1	1.58	97.45	5546527
GCF_002261545.1	0.38	99.07	5592798
GCF_002261575.1	0.19	98.81	5441867
GCF_002261585.1	0.96	98.55	5482902
GCF_002261615.1	0.19	95.91	5263111
GCF_002261625.1	0.38	98.81	5487690
GCF_002261655.1	0.19	98.81	5440890
GCF_002261665.1	0.43	98.03	5684475
GCF_002261675.1	0.5	98.29	5969509
GCF_002261685.1	0.19	98.81	5424337
GCF_002261735.1	0.88	98.53	5717991
GCF_002261745.1	0.38	99.03	5528499
GCF_002261775.1	0.38	99.03	5557939
GCF_002261785.1	0.19	98.81	5441420
GCF_002261815.1	0.21	99.07	5508450
GCF_002261825.1	0.43	99.07	5818954
GCF_002261855.1	0.21	99.07	5530662
GCF_002261875.1	0.43	98.29	5793053
GCF_002261895.1	0.21	99.07	5527344
GCF_002261915.1	0.21	99.07	5512110
GCF_002261935.1	0.19	98.81	5426505
GCF_002261945.1	0.19	98.81	5422736
GCF_002261975.1	0.6	99.07	5810395
GCF_002261985.1	0.64	98.81	5567007
GCF_002262015.1	0.21	99.07	5512252
GCF_002262035.1	0.43	99.07	5812783
GCF_002262055.1	0.38	99.03	5549931
GCF_002262065.1	0.38	98.55	5770609
GCF_002262075.1	0.38	98.03	5849629
GCF_002262115.1	0.19	98.81	5423742
GCF_002262135.1	0.6	98.81	5710180
GCF_002262145.1	0.19	98.81	5406430
GCF_002262175.1	4.59	98.81	5758297
GCF_002262185.1	0.43	99.07	5775211
GCF_002262215.1	0.43	99.07	5779197
GCF_002262225.1	0.43	99.07	5807952
GCF_002262235.1	0.43	99.07	5808046
GCF_002262275.1	0.38	99.07	5495406
GCF_002262295.1	0.45	98.55	5623378
GCF_002262305.1	0.38	98.81	5541549
GCF_002262335.1	2.12	99.07	5818161
GCF_002262345.1	0.38	98.81	5535938
GCF_002262375.1	0.43	99.07	5804683
GCF_002262385.1	0.19	98.81	5423616
GCF_002262415.1	0.19	98.81	5422690
GCF_002262425.1	0.43	99.07	5795679
GCF_002262455.1	0.19	98.55	5419508
GCF_002262465.1	0.38	98.03	5840218
GCF_002262475.1	0.6	99.07	5811136
GCF_002262485.1	0.6	99.07	5812375
GCF_002262535.1	0.43	98.29	5600844
GCF_002262545.1	0.82	98.81	5746717
GCF_002262555.1	0.82	98.81	5727547
GCF_002262565.1	0.19	98.81	5419675
GCF_002262615.1	0.43	99.07	5771206
GCF_002262625.1	0.6	99.07	5827118
GCF_002262635.1	0.19	98.81	5421952
GCF_002262675.1	0.38	98.03	5841861
GCF_002262705.1	0.43	98.55	5603327
GCF_002262735.1	0.19	98.79	5421656
GCF_002262745.1	0.36	98.74	5548343
GCF_002262775.1	0.82	98.81	5767883
GCF_002262785.1	1.01	98.33	5679176
GCF_002262795.1	0.43	98.55	5607211
GCF_002262805.1	0.82	98.81	5744876
GCF_002262855.1	0.43	98.55	5619177
GCF_002263345.1	1.89	97.86	5631402
GCF_002263375.1	2.02	98.12	5652359
GCF_002263395.1	0.66	98.29	5733529
GCF_002264165.1	1.23	98.09	5609823
GCF_002264195.1	1.07	98.95	5675827
GCF_002264245.1	0.36	98.81	5524464
GCF_002264265.1	0.36	98.81	5530708
GCF_002264365.1	0.36	98.81	5525783
GCF_002264425.1	1.25	97.66	5529081
GCF_002264435.1	0.52	98.73	5822605
GCF_002264465.1	0.38	98.81	5581788
GCF_002264475.1	0.38	98.81	5726611
GCF_002264505.1	0.71	99.07	5636447
GCF_002264525.1	0.38	98.81	5585536
GCF_002264545.1	0.38	98.26	5733347
GCF_002264605.1	0.38	99.07	5545597
GCF_002264645.1	0.38	99.07	5618419
GCF_002264685.1	0.38	99.07	5553192
GCF_002264695.1	0.38	98.55	5483445
GCF_002264705.1	0.38	99.07	5628838
GCF_002264715.1	0.38	99.07	5632206
GCF_002264765.1	0.38	99.07	5505326
GCF_002264775.1	0.38	98.53	5478142
GCF_002264785.1	0.56	98.55	5643629
GCF_002264795.1	0.71	98.53	5829038
GCF_002264845.1	1.41	99.06	5669428
GCF_002264855.1	0.45	99.07	5659063
GCF_002264905.1	0.21	98.55	5447971
GCF_002264915.1	0.21	98.55	5451010
GCF_002264925.1	0.71	99.07	5810616
GCF_002265015.1	0.77	99.07	5663831
GCF_002265425.1	0.43	99.07	5801284
GCF_002265525.1	0.43	99.07	5809489
GCF_002265565.1	0.43	99.07	5831529
GCF_002265605.1	0.43	99.07	5831261
GCF_002268655.1	0.21	98.9	5599368
